district,state,lat,lon,population,urbanity,fp_unmet_pct,institutional_birth_pct,csection_pct,anaemia_pct
Aligarh,U.p,27.91188,78.09974,null,null,null,null,null,null
Kazhakuttam,Kerala,8.56809,76.87289,null,null,null,null,null,null
Jhumri Telaiya,Jharkhand,24.83056,87.20726,null,null,null,null,null,null
Mira Road (east),Thane,19.07466,72.88,null,null,null,null,null,null
Bhalej,Gujarat,22.6419,73.02815,null,null,null,null,null,null
Mandi Gobindgarh,Punjab,30.66745,76.29586,null,null,null,null,null,null
Aluva,Ernakulam,10.11105,76.35156,null,null,null,null,null,null
Dhalpur,Himachal Pradesh,31.95625,77.11253,null,null,null,null,null,null
Silchar,North Cachar Hills,24.77763,92.79301,null,null,null,null,null,null
Kolkata,West Bengal,22.61014,88.33015,null,null,2.2,97.5,44.7,58.2
Mangalwedha,Maharashtra,18.31353,74.40157,null,null,null,null,null,null
Thoothukudi,Tamil Nadu,10.25803,77.56268,null,null,null,null,null,null
Coimbatore,Tamil Nadu,11.00114,77.04872,null,null,9.1,100.0,50.9,48.9
Jodhpur,Rajasthan,26.55373,73.34299,null,null,5.7,90.0,13.6,43.4
Moradabad,Uttar Pradesh,28.33849,79.36819,null,null,6.9,80.3,22.5,44.9
Dwarka,Delhi,28.60625,77.09641,null,null,null,null,null,null
Gurugram,Haryana,28.41844,77.11297,null,null,null,null,null,null
Surat,Gujarat,21.35414,72.77126,null,null,5.7,97.7,25.0,69.0
Raisen,Madhya Pradesh,22.58102,76.70833,null,null,5.3,96.0,12.3,56.9
Bhopal,Madhya Pradesh,23.3159,77.42337,null,null,9.6,98.3,21.9,53.5
Lonand,Maharashtra,19.25292,73.813,null,null,null,null,null,null
Shikrapur,Maharashtra,21.11625,79.06078,null,null,null,null,null,null
Theni,Thanjavur,13.19884,80.18446,null,null,null,null,null,null
Palwal,Haryana,28.2234,77.48991,null,null,8.0,78.3,11.7,57.2
Kottakkal,Kerala,11.0715,75.92516,null,null,null,null,null,null
Katarkhatav,Maharashtra,28.56814,77.37108,null,null,null,null,null,null
Andheri West,Maharashtra,19.33288,73.07543,null,null,null,null,null,null
Kota,Rajasthan,25.26463,75.84333,null,null,4.6,97.9,20.7,51.8
Samana,Patiala,30.8975,76.41194,null,null,null,null,null,null
Dombivli East,Maharashtra,19.20226,73.06305,null,null,null,null,null,null
Khaga,Uttar Pradesh,28.82379,78.78236,null,null,null,null,null,null
Tada,Madhya Pradesh,22.12515,75.04317,null,null,null,null,null,null
Jagtial,Andhra Pradesh,16.99368,81.77647,null,null,null,null,null,null
Allahabad,Uttar Pradesh,25.55188,81.74941,null,null,11.9,83.2,15.7,46.4
Ganganagar,Rajasthan,25.17998,75.88239,null,null,5.1,97.7,14.3,59.0
Hyderabad,Hyderabad,16.3938,80.15617,null,null,null,null,null,null
Shankargarh,Uttar Pradesh,26.79514,80.91907,null,null,null,null,null,null
Gadag,Karnataka,14.19438,76.5824,null,null,7.0,96.2,33.5,50.5
Perintalmanna,Kerala,10.97843,76.21418,null,null,null,null,null,null
Malshiras,Maharashtra,18.51047,73.86219,null,null,null,null,null,null
